occupation,mean_age
administrator,38.74683544303797
artist,31.392857142857142
doctor,43.57142857142857
educator,42.01052631578948
engineer,36.38805970149254
entertainment,29.22222222222222
executive,38.71875
healthcare,41.5625
homemaker,32.57142857142857
lawyer,36.75
librarian,40.0
marketing,37.61538461538461
none,26.555555555555557
other,34.523809523809526
programmer,33.121212121212125
retired,63.07142857142857
salesman,35.666666666666664
scientist,35.54838709677419
student,22.081632653061224
technician,33.148148148148145
writer,36.31111111111111
